	댓글번호	댓글내용	답글수	pos길이	본문/전체명사	본문/전체명사종류	자카드	nonset자카드	자카드명사	nonset자카드명사
10	11	결국 사태의 원인은 행정부에서 책임을 지는 것이 맞는 겁니다 . 최종 책임의 주체는 정부가 되는 것이 맞는 것입니다. 행정부의 수장을 국민들이 뽑는 것은 그 만한 책임 과 권리를 위임한 것이기에 바이러스와 같은 우발적인 사태라 하더라도 그에 따른 대응을 해야하는 의무는 정부에 있고 이를 이행하지 못하고 실패하게 된다면 국민들은 이에 대해 비판할 권리가 있는 것입니다 현정부를 지지하는 사람들이라도 정권에서 잘못하고 있다면 무조건적으로 감싸는것이 아니라 적절한 비판을 해야 경각심을 가지고 정부에서 반응을 보이고 대처를 할것입니다	1.0	152	0.13513513513513514	0.07407407407407407	0.09259259259259259	0.31851851851851853	0.019801980198019802	0.04950495049504951
6	7	메르스사태때 문재인 대통령은 뭐라했나?무능한 정권이라고 안했나?그렇케 비판하던 전정권을 본인은 더 심하게 치르고있다.메르스때 국민들이 마스크 얼마나 쓰고다녔나?메르스때 초기에만 병실문제 삼성병원 사태빼곤 조용했다.이동병원이 수시로 다니면서환자파악했다.그리고 이맘때쯤에는 사망자.감염자.퇴원하는사람들 전부 줄어들었다.메르스때 3차감염이란 말이 있었던가?일년쯤전에 바이러스 환자는 줄고 퇴원만했다.사망자는 지금의 몇배나 줄었다.문재인 정권은 재앙이다.빚잔치로 사업만 넖히는분이 예전두정권보다 사업비가 혼자 더많게쓰고계신다.그런분이누굴욕하나	0.0	166	0.10204081632653061	0.10810810810810811	0.11072664359861592	0.25951557093425603	0.03669724770642202	0.045871559633027525
97	98	서울수도권은 대체  왜그러는지 참 이해가안되네..지금은법적으로 마스크도하고 방역지침이강화됐음에도불구하고 계속늘어난다는것은 분명수도권지역에 문제가많다는것이다!!대구는오늘0명이 나왔다는데...수도권3단계격상을빨리하시오!!더이상 확진자가 안나오게 불안합니다!!	0.0	88	0.5	0.4444444444444444	0.1225296442687747	0.19367588932806323	0.09302325581395349	0.11627906976744186
22	23	천안사는데요 두정동이라는 먹자골목이있습니다. 어제밤이에갔는데 코로나가 하루확진자가 1000명이 안나오는게 이상할정도였습니다. 젊은친구들 마스크는 턱에만 걸치고 여기저기 담배피우고 서로 껴안고 뭐 난리도 아니더라구요 곧 1000명찍지않을까 예상합니다. 정신차립시다 순간의 욕구때문에 지치는 시간만 길어집니다. 코로나 극복은 정부가 하는게 아닌 우리스스로가 만드는겁니다.	0.0	102	0.2	0.2	0.08727272727272728	0.16363636363636364	0.052083333333333336	0.052083333333333336
23	24	정부는 코로나 끝날까봐 더 두려워하는 것 같다 국민들 목숨이 달렸는데 백신 확보도 가격 조절한다면서 배짱 부리지 않나 확진자가 매일 500명 넘어서는데도 거리두기 단계 조정의지도 않보인다 그냥 계속 이런 공황상태로 집회도 못하고 정권 유지하려나 보다 예전 보수들은 불안하면 빨갱이탓 반공 부르짖었는데 좌파들은 그걸 그대로 보고 배워 코로나로 정치 참 쉽게 하는 것 같다	0.0	94	0.125	0.0967741935483871	0.08856088560885608	0.14760147601476015	0.028846153846153848	0.038461538461538464
99	100	코로나 확진자랑 무조건 최대한 멀리 떨어지세요. 코로나바이러스 완치없습니다. 돌연변이가 아주 빠른 바이러스입니다. 후각상실, 미각상실, 혈전, 당뇨, 탈모, 폐, 뇌, 피부, 혈관감염, 브레인포그(머리가 안개낀것처럼 멍한상태로 사고를 명확하게 못하는 상태또는증상), 남성의 경우 고환염, 심근염등 심장질환.	0.0	78	0.2	0.16129032258064516	0.07692307692307693	0.13846153846153847	0.049019607843137254	0.06862745098039216
38	39	이번 3차 대유행은 할로윈의 영향같다. 시기도 할로윈 끝나고 몇주 안지났고, 젊은 층을 중심으로 유행하니까 거기에 아이들도 감염되는 거 보니까.. 할로윈이 원인인 거 같다.	0.0	54	0.2857142857142857	0.3333333333333333	0.09623430962343096	0.12552301255230125	0.047619047619047616	0.047619047619047616
84	85	진심 집회 안막고 검토 몇주하고 등교 유지에 거리두기 강화 안해서 그럼 뭔 200명이 넘어가고 집회허락하고미쳤나 안그래도 위험한ㄷ 이시국에 집회 ㄱ같은 소리하네 등교랑 거리두기는 빨ㄹ 해야지 학생들 ㅈㄴ 걸리고 교사 걸리고 꼬리 물기하잔아 지금 불쌍 수능생들 봐라 시험도 못보고 걸리고 아파서 고생만 하네 진심 중요한 시험이 있는데 쳐 집회하냐 에휴 개만도 못해 ㅡ	0.0	107	0.0	0.0	0.050359712230215826	0.1223021582733813	0.0	0.0
85	86	짱깨들 막지도 않고 의료진의 희생과 국민들이 마스크 열심히 쓰면서 노력해서  획진자 줄여 놓으니 전화들고 k방역 어쩌구 자화자찬 드럽게 하드만 쿠폰이나 뿌려대고 이 사단이 날줄 알았다.근데 어쩌나 이번 확진은 교회도 아니고 태극기도 아닌 민노총 인데..주딩이 꼬맸냐? 말이 없냐?	0.0	77	0.09523809523809523	0.09523809523809523	0.06015037593984962	0.10902255639097744	0.021052631578947368	0.021052631578947368
100	101	어디가서 우리나라 시민의식 수준급이라고 하지말자.. 그렇게 모이지말라고 했는데 굳이 놀러나가는 사람들 정말 생각이 있는건지 없는건지 모르겠다 이래놓고 집에가서 어휴 방역실패네 문재앙 문재앙하겠지뭐..	0.0	63	0.07142857142857142	0.08333333333333333	0.05976095617529881	0.10358565737051793	0.011494252873563218	0.011494252873563218
