퇴임 앞둔 트럼프, 측근 플린 전 국가안보보좌관 전격 사면	2020.11.26. 오전 8:04	퇴임 전 핵심 측근 다수 사면 전망... '사면권 남용' 논란 CNN "트럼프, 재임기간이 끝나감을 이해한다는 신호" 도널드 트럼프 미국 대통령이 2016년 10월 17일 당시 공화당 대선후보로서 콜라라도주 그랜드정션에서 유세를 여는 중 후에 트럼프 행정부의 초대 백악관 국가안보보좌관이 된 마이클 플린이 함께 참석해 발언하고 있다. 그랜드정션=AFP 연합뉴스   도널드 트럼프 미국 대통령이 ‘러시아 스캔들’ 관련 허위진술 혐의로 재판에 넘겨진 측근 마이클 플린 전 백악관 국가안보보좌관을 전격 사면했다.  트럼프 대통령은 25일(현지시간) 자신의 트위터를 통해 “플린 전 보좌관을 사면한다는 소식을 발표해 영광”이라며 “플린에게 축하 인사를 건넨다”고 밝혔다. 그러면서 “그와 그의 멋진 가족들은 환상적인 추수감사절을 보낼 것이라고 생각한다”고 적었다.  플린은 트럼프 행정부의 초대 국가안보보좌관을 지냈다. 그는 2016년 12월 보좌관 내정자 신분으로 당시 주미 러시아 대사와, 오바마 행정부가 부과한 대(對)러시아 제재 해제 문제를 논의한 사실이 드러나 취임 24일 만에 낙마했다. 이후 러시아 스캔들을 수사한 로버트 뮬러 특별검사팀은 플린 전 보좌관이 연방수사국(FBI)의 2017년 1월 조사 때 러시아와의 접촉에 관해 거짓 진술을 한 혐의로 기소했고, 그는 위증을 인정했다. 하지만 플린 전 보좌관은 지난해부터 태도를 바꿔 FBI 수사관이 부당한 방법으로 조사했다며 무죄를 호소해 왔다. 지난 5월에는 트럼프 대통령의 '충성파' 윌리엄 바 장관이 이끄는 법무부가 FBI의 수사가 적법하게 이뤄지지 않았다며 법원에 기소 취하서를 제출했고, 법원은 이를 받아들이지 않았다.  마이클 플린 전 미국 백악관 국가안보보좌관의 사면 사실을 밝힌 도널드 트럼프 대통령의 트위터.   앞서 뉴욕타임스(NYT)와 온라인매체 악시오스는 전날 익명의 관계자를 인용해 최근 트럼프 대통령이 임기 말 사면대상에 플린 전 보좌관을 포함하겠다는 뜻을 보좌진에 밝혔다고 전했다. 트럼프 대통령은 지난 3월에도 트위터를 통해 “플린의 사면을 강력히 고려하고 있다”고 밝힌 적이 있다.  미국에선 대통령이 수사 중이거나 형이 확정되지 않은 범죄에 대해서도 사면할 수 있다. 트럼프 대통령이 내년 1월 20일 퇴임 전까지 다수의 핵심 측근을 사면할 것이라는 전망이 나오는 가운데 CNN방송은 "플린의 사면은 트럼프 대통령이 재임 기간이 끝나가고 있음을 이해하고 있다는 신호"라고 풀이했다. 트럼프 대통령은 이미 지난 7월에는 러시아 스캔들과 관련해 허위증언 등의 혐의로 징역형을 선고받은 40년 지기 정치컨설턴트 로저 스톤을 감형해 줘 비판 받았고 8월에는 공화당 전당대회에서 자신을 위해 연설한 마약사범을 사면하고 복권해 줘 논란을 불렀다.  김소연 기자 jollylife@hankookilbo.com    ▶ 네이버 채널에서 한국일보를 구독하세요! ▶ [집공사] 남자들의 로망, 요새인가? 집인가? ▶ 한국일보닷컴 바로가기	
5	중공머니 중공인간 미국시장에 풀어놓면 그리되는거지 머니전술,인해전술에 스스로의 똥도 닦지 못하는 미국인가? 남의나라 정치까지 신경쓰기싫다 이젠! 한판붙든 어떻게든 역사는 흐.르겠지...	0.0	0.0
6	퇴임결정되지않았음        가짜뉴스   가짜뉴스	4.0	3.9068905956085187	1.0
7	에에,   트럼프  재선  99.999% 던데...바이든   과   그 아류  쇠고랑 찰일만  남엇던데,  ㅋㅋㅋㅋㅋㅋㅋ	3.700439718141092	3.5849625007211565	1.0
7	어디사세요?	0.0	0.0
8	트럼프가 최악이면 바이든은 시궁창이다~	1.0	0.0	0.0
9	우리나라 시각으로 오늘 새벽에 펜실베니아 에서 펜실베니아 의원이 주관하는 선거부정 증인 공청회가 열렸습니다 수십명의 증인들이 참관인들과 의원들 앞에서 증언했습니다.최소 수십만명 이상의 사람들이 유투브 라이브로 시청했고 저도 마찬가지입니다.펜실베니아 법원은 이 문제가 해결되기 전까지는 선거 결과를 인증할 수 없다고 발표했습니다.그러므로  여지껏 어느 언론사든 펜실베니아의 선거인단이 확정됬다고 하는곳은 가짜뉴스 이던지 그냥 외국 언론 퍼나르는 찌라시든지 둘중 하나입니다.	1.0	0.0	0.0
10	억울한 누명으로  3성장군을빵에 보내고 천벌을받을놈들 트럼프가 하나하나바로잡아갈꺼다	1.0	0.0	0.0
11	거짓뉴스  하는 언론사들 신문 절대구독하지마세요	1.0	0.0	1.0
12	퇴임을 앞두다니! 아직 선거인단 확정도 안 됐는데 왜 세뇌 선동질이지?	1.0	0.0	0.0
13	ㅋㅋㅋ   조나웃겨서    쪽팔리지도  아냐?   바이든 깜방 간다  잘봐라  ㅋㅋㅋ	2.0	2.0	0.0
14	무슨 수준떨어지는 기자 꼬라지하곤 주제에 언론이라고 나라의 향배를 지가 결정하듯이 기사쓰고있네 ㅋㅋㅋ 김소연기자? 쪽팔린줄 아세요 ㅋㅋ	1.0	1.0	0.0
15	모든언론은  다  돌이킬수 없을많큼  썩었다~   민주주의를  살리려면  반드시  언론계혁이  필수이다	1.0	1.0	0.0
16	아 진쨔 좀 재대로된 기자는 아예 없나부다 알구 쓰는건지 누가 쓰라구해서 쓰는건지  도무지 무슨 생각인지 기자는  맞을까 십다 한국기자들 정말 한심하다  한심해ᆢ	0.0	0.0	0.0
17	염치도 없는 몰상식한 인간 같으니. 트럼프는 정말 최악이다.	0.0	0.0	0.0
18	조빸 cnn 죽은사람이 투표한 부정선거에 눈감는구나 ㅎ	0.0	0.0	0.0
19	트럼프 재임되면  국내 주류 언론들이  보도안하고 침묵할거라고 하던데....본인 잇속과 정치적 색깔로 기사쓰는게 기자입니까.	0.0	0.0	0.0
20	ㅋㅋㅋㅋ 미국도 참 뭣같은 나라야 ㅋㅋㅋ	0.0	0.0	0.0
21	4년더!	0.0	0.0	0.0
22	네들맘데로 퇴임하냐?	0.0	0.0	0.0
23	트럼프 너또라이지 너얼굴보면 밥먹다가 구역질 난다	0.0	0.0	0.0
24	폐간압둔 한국일보 무리수	0.0	0.0	0.0
25	정작 러시아 스캔들 조작한 힐러리 일당은 검거도 안되고.. 미국도 참..  썩어 문드러졌다.	0.0	0.0	0.0
26	트럼프 한국 언론 전담 변호사 팀 꾸려서 손해배상 내면 수천억 벌겠다.	0.0	0.0	0.0
27	4년전 럼프 대통될때 CNN 앵커가 울었다~~~ 그런 CNN 이다~~~	0.0	0.0	0.0
28	CNN기사 퍼날랐다면 보나마자 가짜뉴스지모..알겠지? 한국일보 기자야 니가 퍼나른건 가짜라고 ㅋ 애쓴다 니들 진짜	0.0	0.0	0.0
29	조지아주지사 탄핵한답니다 ㅋㅋ	0.0	0.0	0.0
30	이 사람은 원래 무죄야  누명쓰고 빼준 사람이 시드니파웰이야	0.0	0.0	0.0
31	진짜 저열한 인간이다. 바이든 정권에서 러시아대선개입 탈세 싹 털리길...	2.321928094887362	2.584962500721156	0.0
32	트럼프 시대는 끝났다	2.321928094887362	2.584962500721156	0.0
33	자꾸 유튜브만 보는 정신병자 취급 하는데 언론이 제 기능을 했다면 그럴 이유가 있었을까? 또한 유튜브는 무조건 가짜뉴스라고 하는데 현재 미국 부정선거 관련 이슈는 미국의 대표  뉴스 미디어 폭스tv로 보는 중이다	1.0	1.5849625007211563	0.0
34	플린 장관은 코미 전 fbi 국장과 뮬러 전 특검에 의해 음해를 받았다가 무죄가 증명되어 사면을 받은거다. 뮬러와 코미의 청문회 영상 찾아봐라. 짐 조던 의원이 뮬러 전 특검 상대로 청문회 하는걸 보면 이들이 얼마나 부패했는지 알 수 있다. 뮬러와 코미의 뒤에는 오바마와 힐러리가 있다.	1.0	1.5849625007211563	0.0
35	어이구 혼자서 언론이 북치고 장구치네? 아직 트럼프 시작도 안함 ㅉㅉ 중국자본이 진짜 전세계 암덩어리다	0.0	1.0	0.0
36	개럼프	0.0	1.0	1.0
37	ㅋ.ㅋ.ㅋ.퇴임한달.ㅋ.ㅋ.퇴임4년후될것같은 예감이들지.나만그런가	0.0	1.0	0.0
38	우리나라 x박이 뺨칠 정도네... 완전 돈벌레... 럼프도 짝대기 짚고 깜방갈겨~	1.0	2.0	0.0
39	대통령이 예수냐???  니죄를 사하노라	0.0	1.5849625007211563	0.0
