,댓글번호,댓글내용,답글수,pos길이,본문/전체명사,본문/전체명사종류,자카드,nonset자카드,자카드명사,nonset자카드명사
9,10,주주들이 싫다고 하는데 정부가 뭔 권리로 합친다고 결정을 하냐?정부는 지난 11월 16일 산업경쟁력 강화 관계장관회의를 열고 대한항공과 아시아나항공을 합치기로 했다.,0.0,46,0.8571428571428571,0.8461538461538461,0.059964726631393295,0.06878306878306878,0.036544850498338874,0.03986710963455149
21,22,총수일가를 도와야지  그럼 아시아나 망하게 하니 박용진 ᆢ그럼 다른곳과 합병해봐  누가 적자난 항공 처 떠안을 기업 어딨나 ᆢ나라에서 적자이시아나 살리는조건으로 빅딜 처하는거지 누가 모르니  ㆍ대한항공이 더힘들어 모르면 가민히나 있지 박ᆢ 박은 요즘 말이 엄청많아 ᆢ입닫고 좀살지 남극이랑 계모아라,0.0,85,0.5,0.47368421052631576,0.05042016806722689,0.06890756302521009,0.02912621359223301,0.03559870550161812
8,9,세금으로 재벌 똥 닦아주는 이번 밀실야합을 규탄한다. 개인적으로 통합에 반대하지 않는다 다만 그 방법에 있어서 한진칼의 지분경쟁을 이용한 더러운 산업은행을 행위에 분노한다.,1.0,48,0.42857142857142855,0.42857142857142855,0.0415944540727903,0.053726169844020795,0.028938906752411574,0.028938906752411574
20,21,"산은 이동걸이 쇼하는거다, 부채만 합쳐서 34조인데 국민혈세 투입하겠다고 하는거",0.0,25,0.6666666666666666,0.6666666666666666,0.02831858407079646,0.033628318584070796,0.019867549668874173,0.019867549668874173
52,53,살릴거면 바로 대한항공으로 들어가지 뭔 한진칼에 투자해서 다시 내리냐 한국 특 - 윗놈들 챙겨주기 계단식 수수료충들 오지게 많음 한진칼에서 내릴때 또 나눠먹고 대한항공에서 또 나눠먹고 지들끼리 나랏돈으로 보너스챙기기,0.0,58,0.5333333333333333,0.46153846153846156,0.028862478777589132,0.044142614601018676,0.0196078431372549,0.026143790849673203
56,57,"존나 골때리는게 부채 12조짜리 회사 인수못해서 안달난게 대한항공이라는점임, 가만보면 아시아나항공은 존나 느긋한데경영권때문에 개 쫄리니까 똥마려운 강아지ㅅㄲ 마냥 감정팔이에 10만일자리 운운하며 지가 더 급해 아주 ㅋㅋㅋㅋㅋ",0.0,62,0.35294117647058826,0.35294117647058826,0.04915254237288136,0.05254237288135593,0.01935483870967742,0.01935483870967742
59,60,뭐하는짓니냐? 어느놈이 주동자냐? 세금으로 부도덕한 한진그룹 밀어주는게? 자유로운 자본시장에 왜 정부가 끼여드노? 당장 그만두지 못할까?,0.0,39,0.5,0.5,0.025951557093425604,0.02768166089965398,0.01644736842105263,0.01644736842105263
6,7,아시아나가 전라도 기업이니까 저딴 말도 안되는 특혜를 받는거야. 조만간 대한항공도 파산법원 문을 두드릴거다.,0.0,32,0.5,0.5,0.0297723292469352,0.03502626970227671,0.01644736842105263,0.01644736842105263
40,41,한진은 아시아나 인수 포기하고 손떼라,0.0,11,0.6666666666666666,0.6666666666666666,0.01601423487544484,0.01601423487544484,0.013289036544850499,0.013289036544850499
38,39,대한항공이 인수하는데왜 쓰러져가는 회사이름을 같이 넣어요?기자님아!,0.0,20,0.6666666666666666,0.6666666666666666,0.01576182136602452,0.01576182136602452,0.013289036544850499,0.013289036544850499
13,14,ㅋㅋㅋ  정권 바뀌면 그때는 전정권에서 한거라 나몰라라 할 정부 결국 세금걷어서 싸가지 없는 집구석 구제해주는 꼴 차라리 대표를 새인물로 교체하는게 낫지안을까? 아님 아시아나 없애고 그돈 복지나 집값이나 잡아줘라.,0.0,59,0.2222222222222222,0.23529411764705882,0.03722504230118443,0.04568527918781726,0.01282051282051282,0.01282051282051282
30,31,대한항공이여야지 무슨 코리아나냐 ㅡㅡ아시아나는 없어져야할 회사지,0.0,13,0.75,0.75,0.01415929203539823,0.01415929203539823,0.01,0.01
4,5,기자도 정부 돈 받고 기사쓰나??,0.0,11,0.6,0.6,0.010638297872340425,0.010638297872340425,0.009966777408637873,0.009966777408637873
34,35,밑빠진독에 물붙기 시작이네,0.0,10,0.6,0.6,0.012433392539964476,0.012433392539964476,0.009966777408637873,0.009966777408637873
16,17,코리아나 항공?? 지들끼리 신났네. 아시아나 혼자 파산해야한다.,0.0,17,0.5,0.5,0.015901060070671377,0.0176678445229682,0.009933774834437087,0.009933774834437087
5,6,어디서 이름을 마음대로 바꾸노 기자. 대한항공이다. 망하는회사 이름은 꺼라 부정탄다,0.0,22,0.42857142857142855,0.5,0.017543859649122806,0.01929824561403509,0.009933774834437087,0.009933774834437087
31,32,지금 상황에서 실업자 더 늘면 더 큰 재앙이죠 코리아나 항공 좋네  땅콩한테만 안가면 된다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0.0,37,0.42857142857142855,0.42857142857142855,0.021015761821366025,0.02276707530647986,0.009900990099009901,0.009900990099009901
7,8,혈세투입하는데 국민들의견은 개무시군,0.0,12,0.42857142857142855,0.42857142857142855,0.014184397163120567,0.014184397163120567,0.009900990099009901,0.009900990099009901
35,36,오천억정도몀 유상증자한다고 해도 개미들 벌때같이 달려들꺼 같은디 고작 그거가지고 뭔 생색을 그리도 내냐,0.0,27,0.375,0.375,0.01206896551724138,0.01206896551724138,0.009868421052631578,0.009868421052631578
27,28,놀리듯 말하는 '코리아나'라는 단어를 기사제목으로 쓰다니ㅡㅡ 기자 제정신인가???,0.0,22,0.375,0.375,0.013961605584642234,0.013961605584642234,0.009868421052631578,0.009868421052631578
49,50,아시아나를 왜 대한항공에 앵기냐?????,0.0,11,0.6666666666666666,0.6666666666666666,0.010619469026548672,0.010619469026548672,0.006666666666666667,0.006666666666666667
1,2,지들끼리 나누어먹기지 누가봐도 이건 밀실합의다,0.0,14,0.6666666666666666,0.6666666666666666,0.012367491166077738,0.014134275618374558,0.006666666666666667,0.006666666666666667
26,27,아시아나살리자고 대한항공까지 망쳐버리는,1.0,10,0.6666666666666666,0.6666666666666666,0.010638297872340425,0.010638297872340425,0.006666666666666667,0.006666666666666667
