'신의 손' 마라도나, 60년 드리블 마치고 신의 곁으로	2020.11.26. 오전 7:17	심장마비로 별세···향년 60세 /연합뉴스  [서울경제] 아르헨티나 출신의 전설적인 축구선수 디에고 마라도나가 25일(현지시간) 심장마비로 별세했다. 향년 60세.  클라린, 라나시온 등 아르헨티나 언론들은 마라도나가 이날 오후 수도 부에노스아이레스 근교 티그레의 자택에서 숨졌다고 전했다. 마라도나는 지난 3일 경막하혈종으로 뇌 수술을 받고 통원 치료를 받으며 회복 중이었다.당시 주치의는 수술이 성공적이었다고 말한 바 있다. 라나시온은 이날 마라도나가 심장마비 후 9대의 구급차가 도착했을 때는 이미 숨진 뒤였다고 보도했다. 로이터통신은 고인의 변호인을 인용해 사인이 심장마비라고 전했다.  등번호 10번의 마라도나는 아르헨티나 축구 전설이자 영웅이다. 브라질의 펠레와 더불어 전 세계에서 가장 위대한 축구 선수 중 한 명으로 꼽힌다. 마라도나는 1960년 아르헨티나 부에노스아이레스주에서 태어나 1976년 아르헨티노스 주니어스에서 프로에 데뷔했으며, 아르헨티나 보카 주니어스, 스페인의 FC바르셀로나, 이탈리아 나폴리 등을 거쳤다. 작지만 단단한 몸에 화려한 드리블, 위력적인 왼발 킥으로 그라운드를 평정했다. 일찌감치 아르헨티나 국가대표 유니폼을 입고 A매치 91경기에 출전해 34골을 넣었다.  특히 1986년 멕시코 월드컵에서 아르헨티나의 우승을 이끌며 일약 국민영웅이 됐다. 당시 잉글랜드의와 8강에서 헤더하는 것처럼 왼손으로 골을 넣어 ‘신의 손’이라는 이름을 얻었다. 축구 역사에서 가장 유명한 장면 중 하나로 꼽힌다.  ‘악동’이라는 수식어가 따라다닌 마라도나에겐 약물 스캔들도 이어졌다. 1994년 미국 월드컵 도중 도핑 테스트에 적발돼 중도 귀국해야 했고 마약 중독 치료도 몇 차례 받았다. 마약과 알코올 복용, 비만 등으로 과거에도 심장 문제를 겪는 등 건강상태가 좋지 않았다.  이런저런 기행이나 문제적인 발언들로 언론의 헤드라인을 장식하고 사생활을 둘러싸고도 말들이 나왔지만, 이같은 논란 속에서도 천재적인 재능을 바탕으로 한 축구 실력에 대해서는 논란이 없었다.  축구 전설의 별세 소식에 아르헨티나와 전 세계 축구계가 슬픔에 빠졌다. 알베르토 페르난데스 아르헨티나 대통령은 3일간의 국가 애도 기간을 선포했다. 리오넬 메시와 디에고 마라도나. /EPA연합뉴스  브라질 펠레는 “분명히 언젠가 하늘에서 우리가 함께 공을 차게 될 것”이라고 애도했고 고인이 몸 담았던 팀 나폴리도 작별을 전했다. 아르헨티나 출신인 리오넬 메시(FC바르셀로나)는 트위터에 고인의 사진을 올리며 “전설이여 안녕”이라고 작별을 전했다. 메시는 “아르헨티나 국민과 축구계에 매우 슬픈 날”이라며 “그는 우리를 떠나지만 떠나지 않는 것이기도 하다. 디에고는 영원하기 때문”이라고 썼다.  이날 유럽축구연맹(UEFA) 챔피언스리그 경기에 앞서 고인을 추모하는 시간도 마련될 예정이다. /김민혁기자 minegi@sedaily.com  ▶ '3분'만 투자하세요 [김영필의 월스트리트] ▶ 정치권 속사정이 궁금하다면 [여쏙야쏙] ▶ 네이버 채널에서 '서울경제' 구독해주세요!   저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지	
37	그와중에 신의손ㅋ 삼가 고인의 명복을 빕니다	0	0	0
38	기자가 안티네..  신의손	0	0	0
39	마약왕 로이더	0	0	0
40	신의손이라니 키보드워리어같은새기야	0	0	0
41	우리나라 관중한테 욕할때는 미웠는데~~그래도 전설이라  불러드리겠어요 편히 쉬셔요~~	0	0	0
42	아르헨티나의 고종수라 불렸던 사나이...	0.0	1.0	0
42	아재? 할배? 그나이먹도록 참 ㅋ 니 어찌 사는지 다 보인다ㅋ	0	0
43	고인의 명복을 빕니다별이되어 더 빛나길🙏🙏	0	0.0	1
44	반헤일런도 글코 천재들은 단명하는가 보군	0	0.0	0
45	손으로 꼴넣은 놈 반성안하더라 치사한놈	0	1.0	0
46	젊은애인 만족시켜주려 비아그라 폭풍흡입한게 문제지	0	1.0	0
46	펠레겠죠 빡통 대ㄱ리 ㅂ신님아	0	0
46	펠레의 ㅈㅓ주 인데요	2.321928094887362	0
46	축알못 ㅡㅋㅋㅋㅋㅋㅋㅋㅋ	0	0
