트럼프에 '해고 통보' 받았지만... 화려한 복귀 기대되는 그들	2020.11.26. 오후 5:41	유엔 대사로 돌아 온 토마스그린필드처럼  해고 당했던 샐리 예이츠, 법무장관 1순위 탄핵 불리 발언했다 쫓겨난 국방·외교 인사도 샐리 예이츠 전 미국 법무장관 대행이 지난 8월 18일 민주당 전당대회 화상연설에 나서 도널드 트럼프 대통령의 실정을 고발하고 있다. 로이터 연합뉴스   도널드 트럼프 미국 대통령에게 쫓겨났던 '그들'이 공직으로 돌아올까. 조 바이든 차기 행정부 조각 작업이 본격화하면서 트럼프에게 해고 통보를 받았던 인물들이 하나 둘씩 다시 주목받기 시작했다. 미국 CNN방송은 25일(현지시간) 이런 인사들을 '트럼프 행정부의 피난민들'이라고 칭했다. 유엔 주재 대사로 외교가로 돌아온 린다 토마스그린필드 전 국무부 차관보가 '피난민' 복귀의 신호탄으로 읽힌다. 방송은 "특히 국가안보, 법집행, 외교 등의 분야에서 트럼프에 대한 충성심 부족과 같은 이유로 배척 당했으나 바이든 체제 아래 정부로 돌아올 만한 사람들이 많다"고 전했다.  가장 유력한 인물은 샐리 예이츠 전 법무부 장관 대행이다. 일간 워싱턴포스트는 "대부분의 민주당원과 전 법무부 관리들이 모두 인정한 유력 법무장관 후보"로 예이츠를 꼽고 있다. 버락 오바마 행정부 인사로 트럼프 행정부 출범 직후 대행을 맡은 예이츠는 2017년 법무부 직원들에게 트럼프의 '이슬람 국가 입국금지 행정명령' 관련 소송에서 정부를 변호하지 말라고 지시해 결국 경질됐다. 예이츠는 지난 8월 민주당 화상 전당대회에서 "트럼프 대통령이 법무부를 무기화에 법치를 짓밟고 사익을 보호하려고 했다"며 비판을 쏟아내 관심을 받기도 했다.  마리 요바노비치 전 우크라이나주재 미국 대사가 지난 2월 12일 워싱턴 조지타운대학에서 연설을 하고 있다. 워싱턴=AP 연합뉴스   외교·국방 분야에는 트럼프 탄핵 심판 사건과 연관된 인물들의 복귀 여부가 주목받고 있다. 트럼프 탄핵소추안 발의의 결정적 계기였던 '우크라이나 스캔들'이 터지기 직전인 지난해 5월 해임된 마리 요바노비치 전 우크라이나 주재 대사가 대표적이다. 탄핵 심판 과정에서 트럼프가 우크라이나 정부를 압박하는 과정에 동조하지 않은 게 요바노비치의 해임 이유로 알려졌다. 지난 1월 국무부에서 은퇴한 요바노비치는 조지 W 부시·오바마 행정부에서 모두 일한 경험 등이 높게 평가받고 있다.  알렉산더 빈드먼 전 육군 중령도 다시 관심을 받고 있다. 빈드먼은 우크라이나 스캔들로 불거진 트럼프 대통령과 볼로디미르 젤렌스키 우크라이나 대통령의 전화통화를 직접 들은 인물이다. 청문회에서 이 통화가 부적절하다는 소신 발언을 해 트럼프에게 미운털이 박혔고, 탄핵 위기에 벗어난 트럼프 대통령은 바로 그를 백악관 국가안전보장회의(NSC) 유럽담당 국장에서 해임했다.   지난해 11월 19일 의회에 출석한 알렉산더 빈드먼 전 육군 중령이 증언대에 오르기 전 선서를 하고 있다. 워싱턴=AP 연합뉴스   이 밖에도 최근 경질된 보니 글릭 전 국제개발처(USAID) 부처장과 크리스 크렙스 국토안보부 산하 사이버안보·인프라안보국(CISA) 국장도 바이든 행정부에서 재기가 기대되는 인물로 거론된다. 모두 대선 불복 행보를 이어 온 트럼프 대통령이 충성파 인사만 남기는 인사를 강행하면서 쫓겨난 이들이다. 특히 크렙스 국장은 트럼프가 주장한 부정선거 의혹과 관련 "표가 삭제되거나, 없어지거나, 바뀌거나 어떤 방식으로든 손상됐다는 증거는 없다"고 성명을 낸 후 트럼프의 해임 통보를 받았다.  진달래 기자 aza@hankookilbo.com    ▶ 네이버 채널에서 한국일보를 구독하세요! ▶ [오은영희 화해] 남편이 데리고 온 아들 생각에...이혼 뒤 한 집 살림 ▶ 한국일보닷컴 바로가기	
18	뭘 화려하게 돌아와. 오늘 펜실베니아 청문회 때 그냥 부정선거 빼박 증인들 줄섰던데. 누가봐도 빼박 부정선거. 그냥 다함께 감옥 갈팀 꾸리는거지.	1.0	1.0	1
18	정신병이 중증이시네	0	0
19	감옥가겠지	0	0	0
20	이 기사 쓰신 기자님  알아보고쓰신거맞죠?	0	0	0
21	보수가 하도 치매걸린 틀니처럼 행동해서 문재인이 ㅈ같이 행동해도 지지를 못받잖냐.	0	0	0
22	트럼프의 악질손질이다일반직은 손안대는것이 를이다	0	0	0
23	There are lots of members who commit reply fabrication	0	0	0
24	트럼프나 바이든이나..좀 새로운 인물을 발탁해라	0	0	0
25	우리도 빨리 정상의 국가가 되어야하는데ㅜㅜ	0	0.0	1
26	우리나라 법무부 장관과 비교된다 같은 여자인데 참 저렇게 다르다니...누구는 소신대로 누구는 권력에 빌붙어서....	0	0.0	0
27	가짜뉴스 같은 헛소리 하는 보수가 부끄럽다. 대깨문보다 더 역겹다. 이나라는 답이없다.	0	0.0	0
28	쇼한다	0	0.0	0
29	스파이들 ~~~	0	0.0	0
30	트럼프는 선거방해를 결정하고하는짖이다미국억사에 트럼프 같은자  없다	0	1.0	0
